Home Ownership,Years in current job,Tax Liens,Number of Open Accounts,Years of Credit History,Maximum Open Credit,Number of Credit Problems,Months since last delinquent,Bankruptcies,Term,Current Loan Amount,Current Credit Balance,Monthly Debt,Credit Score,Credit Default,Annual_Income_nan,Years_in_current_job_nan,Months_since_last_delinquent_nan,Bankruptcies_nan,Credit_Score_nan,Home Mortgage,Own Home,Rent,median_loan_amount,annual_income_cat,Id
Home Mortgage,0.5,0.0,13.0,21.0,101464.0,0.0,11.0,0.0,Short Term,79464.0,60287.0,14003.0,731.0,1,0,0,0,0,1,1,0,0,250118.0,2,24
Home Mortgage,3.0,0.0,6.0,10.2,802692.0,0.0,0.0,0.0,Short Term,43978.0,550430.0,21839.0,722.0,0,0,0,1,0,0,0,0,1,250118.0,3,25
Home Mortgage,0.5,0.0,9.0,31.4,1457104.0,0.0,32.0,0.0,Short Term,155474.0,254201.0,7020.0,731.0,0,0,0,0,0,1,0,0,1,250118.0,2,26
Home Mortgage,5.0,0.0,13.0,18.0,608652.0,0.0,0.0,0.0,Short Term,122936.0,221825.0,10806.0,731.0,1,0,0,1,0,1,0,0,1,250118.0,2,27
Home Mortgage,6.0,0.0,15.0,17.6,1480182.0,0.0,75.0,0.0,Short Term,120670.0,58805.0,10200.0,750.0,0,0,0,0,0,0,0,0,1,250118.0,3,28
Home Mortgage,7.0,3.0,12.0,7.6,337722.0,3.0,17.00315366972477,0.0,Short Term,175384.0,160417.0,21868.0,727.0,1,0,0,1,0,0,1,0,0,250118.0,1,29
Home Mortgage,10.0,0.0,20.0,15.0,763422.0,0.0,10.0,0.0,Short Term,241230.0,306584.0,9014.0,721.0,0,0,0,0,0,0,0,0,1,250118.0,2,30
Home Mortgage,10.0,0.0,10.0,9.4,348678.0,0.0,0.0,0.0,Short Term,191136.0,165927.0,12031.0,731.0,1,0,0,1,0,1,1,0,0,250118.0,2,31
Home Mortgage,10.0,0.0,17.0,15.4,478159.0,1.0,35.0,0.0,Short Term,33110.0,656450.0,34357.0,729.0,0,0,0,0,0,0,1,0,0,250118.0,2,32
Home Mortgage,10.0,0.0,6.0,27.3,263604.0,0.0,6.0,0.0,Short Term,99999999.0,121353.0,23527.0,723.0,0,0,0,0,0,0,1,0,0,250118.0,3,33
Own Home,5.0,0.0,18.0,18.0,1447468.0,0.0,0.0,0.0,Short Term,215490.0,612541.0,24039.0,731.0,0,0,0,1,0,1,0,1,0,250118.0,2,34
Home Mortgage,5.0,0.0,8.0,17.0,181742.0,0.0,13.0,0.0,Short Term,355344.0,108300.0,19012.0,731.0,1,0,0,0,0,1,0,0,1,250118.0,2,35
Home Mortgage,3.0,0.0,12.0,10.4,900878.0,0.0,0.0,0.0,Short Term,132154.0,242744.0,20416.0,742.0,1,0,0,1,0,0,1,0,0,250118.0,3,36
Home Mortgage,3.0,0.0,8.0,9.5,564168.0,0.0,0.0,0.0,Short Term,265320.0,183198.0,13137.0,744.0,0,0,0,1,0,0,0,0,1,250118.0,1,37
Home Mortgage,10.0,0.0,7.0,17.6,293766.0,1.0,71.0,1.0,Short Term,175516.0,149948.0,3767.0,731.0,1,0,0,0,0,1,1,0,0,250118.0,2,38
Home Mortgage,10.0,0.0,7.0,19.2,458590.0,0.0,0.0,0.0,Short Term,468138.0,2774.0,12865.0,748.0,0,0,0,1,0,0,0,0,1,250118.0,3,39
Home Mortgage,10.0,0.0,17.0,21.2,1132054.0,0.0,0.0,0.0,Short Term,207812.0,294291.0,25483.0,739.0,0,1,1,1,0,0,1,0,0,250118.0,1,40
Home Mortgage,0.5,0.0,9.0,10.7,642092.0,0.0,0.0,0.0,Short Term,312026.0,296685.0,13006.0,731.0,1,0,0,1,0,1,0,0,1,250118.0,2,41
Home Mortgage,1.0,0.0,7.0,16.6,197120.0,0.0,54.0,0.0,Short Term,177166.0,114741.0,12671.0,735.0,1,0,0,0,0,0,0,0,1,250118.0,1,42
Home Mortgage,0.5,0.0,10.0,15.6,697642.0,0.0,0.0,0.0,Short Term,156508.0,398259.0,28077.0,731.0,0,0,0,1,0,1,0,0,1,250118.0,2,43
Home Mortgage,10.0,0.0,8.0,13.3,362934.0,0.0,0.0,0.0,Short Term,318582.0,204991.0,16428.0,741.0,1,0,0,1,0,0,0,0,1,250118.0,2,44
Home Mortgage,10.0,0.0,11.0,11.3,693418.0,1.0,17.00315366972477,1.0,Short Term,266398.0,147915.0,21461.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,45
Home Mortgage,0.5,0.0,7.0,15.8,235510.0,0.0,0.0,0.0,Short Term,99999999.0,171874.0,5183.0,747.0,0,0,0,1,0,0,0,0,1,250118.0,2,46
Home Mortgage,4.0,0.0,10.0,22.2,660374.0,0.0,13.0,0.0,Short Term,482152.0,494475.0,39559.0,743.0,0,0,0,0,0,0,0,0,1,250118.0,3,47
Home Mortgage,6.0,0.0,5.0,16.3,96998.0,0.0,0.0,0.0,Short Term,148632.0,29982.0,6498.0,744.0,0,0,0,1,0,0,1,0,0,250118.0,1,48
Home Mortgage,10.0,0.0,8.0,13.1,797874.0,0.0,0.0,0.0,Short Term,308616.0,360392.0,35030.0,731.0,0,0,0,1,0,1,0,0,1,250118.0,2,49
Home Mortgage,8.0,0.0,9.0,12.1,862422.0,0.0,0.0,0.0,Short Term,351670.0,155667.0,4773.0,718.0,1,0,0,1,0,0,1,0,0,250118.0,3,50
Own Home,10.0,0.0,17.0,32.5,2322650.0,0.0,0.0,0.0,Short Term,448184.0,136401.0,29320.0,731.0,0,0,0,1,0,1,0,1,0,250118.0,2,51
Home Mortgage,5.0,0.0,12.0,15.7,632170.0,0.0,0.0,0.0,Short Term,99999999.0,251693.0,8622.0,746.0,0,0,0,1,0,0,0,0,1,250118.0,1,52
Home Mortgage,3.0,0.0,19.0,12.7,276540.0,0.0,0.0,0.0,Short Term,175340.0,92663.0,12134.0,729.0,1,0,0,1,0,0,0,0,1,250118.0,2,53
Home Mortgage,1.0,0.0,7.0,9.0,415250.0,0.0,0.0,0.0,Short Term,174438.0,185402.0,7735.0,731.0,0,0,0,1,0,1,0,0,1,250118.0,2,54
Home Mortgage,8.0,0.0,11.0,18.1,227876.0,3.0,51.0,3.0,Short Term,108504.0,104899.0,10351.0,729.0,1,0,0,0,0,0,0,0,1,250118.0,1,55
Home Mortgage,0.5,0.0,7.0,9.0,81598.0,0.0,0.0,0.0,Short Term,128788.0,42921.0,15906.0,704.0,1,0,0,1,0,0,1,0,0,250118.0,2,56
Home Mortgage,6.0,0.0,6.0,16.5,655292.0,0.0,0.0,0.0,Short Term,109384.0,294291.0,16606.0,745.0,0,0,0,1,0,0,1,0,0,250118.0,1,57
Home Mortgage,3.0,0.0,18.0,16.4,1120218.0,0.0,0.0,0.0,Short Term,116314.0,697528.0,49298.0,749.0,0,0,0,1,0,0,0,0,1,250118.0,3,58
Home Mortgage,6.0,0.0,13.0,17.2,1211430.0,0.0,0.0,0.0,Short Term,381106.0,636101.0,51205.0,742.0,0,0,0,1,0,0,1,0,0,250118.0,3,59
Home Mortgage,9.0,0.0,17.0,18.0,9339924.0,0.0,0.0,0.0,Short Term,592240.0,959899.0,16813.0,748.0,0,0,0,1,0,0,1,0,0,250118.0,2,60
Home Mortgage,5.0,0.0,9.0,18.0,769604.0,0.0,51.0,0.0,Short Term,390258.0,429381.0,19188.0,745.0,0,0,0,0,0,0,1,0,0,250118.0,3,61
Home Mortgage,7.0,0.0,11.0,14.8,715462.0,0.0,19.0,0.0,Short Term,210826.0,285475.0,18147.0,731.0,1,0,0,0,0,0,1,0,0,250118.0,3,62
Home Mortgage,10.0,0.0,13.0,19.4,551320.0,0.0,16.0,0.0,Short Term,100144.0,167599.0,12648.0,737.0,0,0,0,0,0,0,1,0,0,250118.0,1,63
Home Mortgage,10.0,0.0,6.0,12.9,132418.0,1.0,17.00315366972477,1.0,Short Term,176616.0,97546.0,14237.0,673.0,0,0,0,1,0,0,0,0,1,250118.0,2,64
Home Mortgage,10.0,0.0,6.0,16.9,0.0,0.0,14.0,0.0,Short Term,165924.0,0.0,9021.0,738.0,0,0,0,0,0,0,0,0,1,250118.0,1,65
Home Mortgage,10.0,0.0,12.0,12.9,384736.0,0.0,14.0,0.0,Short Term,276562.0,275462.0,25863.0,653.0,0,0,0,0,0,0,1,0,0,250118.0,3,66
Home Mortgage,10.0,0.0,18.0,17.9,3028014.0,0.0,0.0,0.0,Short Term,311168.0,2327443.0,55716.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,67
Home Mortgage,3.0,0.0,5.0,6.1,249810.0,0.0,0.0,0.0,Short Term,337502.0,119529.0,15215.0,731.0,1,0,0,1,0,0,0,0,1,250118.0,1,68
Home Mortgage,9.0,0.0,8.0,20.5,657360.0,0.0,38.0,0.0,Short Term,199936.0,250933.0,13565.0,740.0,0,0,0,0,0,0,1,0,0,250118.0,1,69
Home Mortgage,5.0,0.0,13.0,11.4,383548.0,0.0,0.0,0.0,Short Term,210518.0,276583.0,11553.0,731.0,1,0,0,1,0,0,0,0,1,250118.0,1,70
Home Mortgage,6.0,0.0,6.0,14.8,427372.0,0.0,0.0,0.0,Short Term,99999999.0,1102.0,483.0,751.0,0,0,0,1,0,0,0,0,1,250118.0,1,71
Home Mortgage,10.0,0.0,17.0,20.6,613954.0,1.0,36.0,1.0,Short Term,196130.0,181336.0,16251.0,711.0,1,1,1,0,0,0,0,0,1,250118.0,2,72
Home Mortgage,1.0,0.0,9.0,8.9,61358.0,0.0,0.0,0.0,Short Term,32824.0,14041.0,7879.0,731.0,1,0,0,1,0,1,0,0,1,250118.0,2,73
Own Home,1.0,0.0,9.0,39.6,644204.0,0.0,0.0,0.0,Short Term,99999999.0,224770.0,4326.0,734.0,0,0,0,0,1,0,0,1,0,250118.0,1,74
Home Mortgage,9.0,0.0,7.0,8.5,576378.0,0.0,0.0,0.0,Short Term,299376.0,210064.0,6555.0,730.0,0,0,0,1,0,0,1,0,0,250118.0,1,75
Home Mortgage,3.0,0.0,10.0,31.3,520740.0,0.0,30.0,0.0,Short Term,99999999.0,332804.0,12148.0,747.0,0,0,0,0,0,0,0,0,1,250118.0,2,76
Home Mortgage,1.0,0.0,16.0,17.6,1158630.0,0.0,71.0,0.0,Short Term,343772.0,218139.0,5996.0,731.0,0,0,0,0,0,1,0,0,1,250118.0,2,77
Home Mortgage,10.0,0.0,10.0,22.4,531454.0,0.0,3.0,0.0,Short Term,437316.0,383249.0,50122.0,730.0,0,0,0,0,0,0,1,0,0,250118.0,3,78
Home Mortgage,3.0,0.0,14.0,11.9,300740.0,0.0,73.0,0.0,Short Term,90178.0,157149.0,14324.0,731.0,0,0,0,0,0,1,0,0,1,250118.0,2,79
Home Mortgage,10.0,0.0,7.0,23.9,351516.0,0.0,52.0,0.0,Short Term,99999999.0,10925.0,9755.0,744.0,0,1,1,0,0,0,0,0,1,250118.0,3,80
Home Mortgage,3.0,0.0,11.0,16.7,518188.0,0.0,0.0,0.0,Short Term,393382.0,362938.0,26188.0,741.0,0,0,0,1,0,0,1,0,0,250118.0,3,81
Home Mortgage,2.0,0.0,9.0,13.8,259842.0,0.0,0.0,0.0,Short Term,151514.0,160455.0,13511.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,82
Home Mortgage,10.0,0.0,14.0,18.0,283448.0,2.0,61.0,2.0,Short Term,243694.0,194598.0,15306.0,740.0,0,0,0,0,0,0,1,0,0,250118.0,3,83
Home Mortgage,10.0,0.0,13.0,15.2,329252.0,0.0,72.0,0.0,Short Term,222442.0,31559.0,9706.0,738.0,0,0,0,0,0,0,1,0,0,250118.0,1,84
Home Mortgage,3.0,0.0,19.0,16.0,1034616.0,0.0,0.0,0.0,Short Term,644556.0,455696.0,46945.0,736.0,0,0,0,1,0,0,1,0,0,250118.0,3,85
Home Mortgage,10.0,0.0,10.0,23.8,147950.0,0.0,63.0,0.0,Short Term,224246.0,95456.0,13780.0,731.0,1,1,1,0,0,0,1,0,0,250118.0,1,86
Home Mortgage,10.0,0.0,9.0,17.0,372878.0,0.0,0.0,0.0,Short Term,460438.0,285323.0,24974.0,724.0,0,0,0,1,0,0,1,0,0,250118.0,3,87
Home Mortgage,3.0,0.0,12.0,6.0,288772.0,0.0,0.0,0.0,Short Term,109318.0,82308.0,11611.0,667.0,0,0,0,1,0,0,0,0,1,250118.0,1,88
Home Mortgage,5.0,0.0,8.0,6.4,405284.0,0.0,23.0,0.0,Short Term,182336.0,158555.0,21091.0,731.0,0,0,0,0,0,1,1,0,0,250118.0,2,89
Home Mortgage,2.0,0.0,10.0,9.8,251900.0,0.0,5.0,0.0,Short Term,99999999.0,41762.0,7600.0,746.0,0,0,0,0,0,0,0,0,1,250118.0,1,90
Home Mortgage,0.5,0.0,10.0,16.7,366498.0,0.0,60.0,0.0,Short Term,325292.0,298490.0,25361.0,707.0,0,0,0,0,0,0,0,0,1,250118.0,2,91
Home Mortgage,6.0,0.0,9.0,10.3,330176.0,0.0,17.0,0.0,Short Term,176286.0,124602.0,6968.0,694.0,1,0,0,0,0,0,0,0,1,250118.0,1,92
Home Mortgage,6.0,0.0,10.0,14.8,380248.0,1.0,17.00315366972477,1.0,Short Term,99999999.0,139897.0,12218.0,726.0,0,0,0,1,0,0,1,0,0,250118.0,1,93
Home Mortgage,2.0,0.0,14.0,17.7,1467620.0,0.0,0.0,0.0,Short Term,648648.0,996246.0,42987.0,708.0,0,0,0,1,0,0,1,0,0,250118.0,3,94
Home Mortgage,4.0,0.0,9.0,20.5,847990.0,0.0,0.0,0.0,Short Term,545336.0,186751.0,12214.0,748.0,0,0,0,1,0,0,1,0,0,250118.0,3,95
Home Mortgage,3.0,0.0,15.0,22.4,1392116.0,0.0,0.0,0.0,Short Term,497992.0,660041.0,22629.0,739.0,0,0,0,1,0,0,1,0,0,250118.0,2,96
Home Mortgage,10.0,0.0,8.0,33.6,651794.0,0.0,13.0,0.0,Short Term,108218.0,401356.0,15390.0,731.0,0,0,0,0,0,1,1,0,0,250118.0,2,97
Home Mortgage,0.5,0.0,12.0,14.3,516692.0,0.0,0.0,0.0,Short Term,133056.0,319504.0,10862.0,740.0,0,0,0,1,0,0,0,0,1,250118.0,1,98
Home Mortgage,10.0,0.0,17.0,21.7,4477858.0,0.0,1.0,0.0,Short Term,326348.0,1009356.0,16441.0,693.0,0,0,0,0,0,0,1,0,0,250118.0,3,99
Home Mortgage,9.0,0.0,11.0,14.1,296692.0,0.0,74.0,0.0,Short Term,110792.0,187321.0,19964.0,731.0,0,0,0,0,0,1,0,0,1,250118.0,2,100
Home Mortgage,10.0,0.0,6.0,23.0,935814.0,0.0,4.0,0.0,Short Term,137566.0,661922.0,23642.0,724.0,1,0,0,0,0,0,1,0,0,250118.0,3,101
Home Mortgage,3.0,0.0,5.0,12.9,445984.0,0.0,0.0,0.0,Short Term,151514.0,223782.0,7388.0,748.0,0,0,0,1,0,0,0,0,1,250118.0,3,102
Home Mortgage,4.0,0.0,10.0,15.5,209220.0,0.0,8.0,0.0,Short Term,337502.0,103360.0,18460.0,731.0,0,0,0,0,0,1,1,0,0,250118.0,2,103
Home Mortgage,10.0,0.0,12.0,21.2,196460.0,0.0,35.0,0.0,Short Term,128370.0,88236.0,10497.0,725.0,1,0,0,0,0,0,0,0,1,250118.0,1,104
Home Mortgage,10.0,0.0,8.0,19.2,359084.0,0.0,72.0,0.0,Short Term,328482.0,142329.0,26793.0,731.0,0,0,0,0,0,1,1,0,0,250118.0,2,105
Home Mortgage,8.0,0.0,11.0,27.3,235620.0,2.0,17.00315366972477,2.0,Short Term,116226.0,105811.0,11566.0,731.0,0,0,0,1,0,0,0,0,1,250118.0,1,106
Own Home,10.0,0.0,6.0,20.4,249392.0,0.0,0.0,0.0,Short Term,331056.0,152285.0,10321.0,731.0,1,0,0,1,0,1,0,1,0,250118.0,2,107
Home Mortgage,4.0,0.0,14.0,15.7,539220.0,0.0,0.0,0.0,Short Term,325028.0,321784.0,17391.0,748.0,0,0,0,1,0,0,1,0,0,250118.0,3,108
Home Mortgage,10.0,0.0,11.0,20.1,414502.0,1.0,68.0,1.0,Short Term,99999999.0,156427.0,3912.0,738.0,0,1,1,0,0,0,1,0,0,250118.0,1,109
Home Mortgage,1.0,0.0,6.0,9.7,448954.0,0.0,39.0,0.0,Short Term,99999999.0,94221.0,11524.0,748.0,0,0,0,0,0,0,0,0,1,250118.0,3,110
Home Mortgage,10.0,0.0,17.0,7.8,1387606.0,0.0,13.0,0.0,Short Term,99999999.0,293607.0,19183.0,737.0,0,0,0,0,0,0,1,0,0,250118.0,3,111
Home Mortgage,9.0,0.0,16.0,16.5,561462.0,0.0,21.0,0.0,Short Term,143792.0,207537.0,9582.0,701.0,1,0,0,0,0,0,1,0,0,250118.0,1,112
Home Mortgage,10.0,0.0,12.0,16.8,362032.0,1.0,17.00315366972477,1.0,Short Term,430980.0,229482.0,15794.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,113
Home Mortgage,4.0,0.0,7.0,16.0,1286186.0,0.0,0.0,0.0,Short Term,99999999.0,242155.0,2953.0,746.0,0,0,0,1,0,0,1,0,0,250118.0,3,114
Home Mortgage,9.0,0.0,7.0,14.5,329890.0,0.0,0.0,0.0,Short Term,325578.0,207138.0,12934.0,731.0,1,0,0,1,0,0,0,0,1,250118.0,1,115
Home Mortgage,3.0,0.0,12.0,13.8,271700.0,0.0,0.0,0.0,Short Term,307230.0,99484.0,3454.0,731.0,0,0,0,1,0,1,0,0,1,250118.0,2,116
Home Mortgage,10.0,0.0,10.0,33.7,763906.0,0.0,11.0,0.0,Short Term,212674.0,502075.0,14388.0,744.0,0,0,0,0,0,0,1,0,0,250118.0,1,117
Home Mortgage,10.0,0.0,4.0,14.2,730466.0,0.0,41.0,0.0,Short Term,614086.0,383553.0,6911.0,737.0,0,0,0,0,0,0,1,0,0,250118.0,3,118
Home Mortgage,3.0,1.0,2.0,23.0,754160.0,1.0,17.00315366972477,0.0,Short Term,232958.0,120498.0,3713.0,749.0,0,0,0,1,0,0,0,0,1,250118.0,3,119
Home Mortgage,4.0,0.0,10.0,20.2,1417042.0,0.0,17.0,0.0,Short Term,440308.0,671878.0,33841.0,731.0,0,0,0,0,0,1,1,0,0,250118.0,2,120
Home Mortgage,0.5,0.0,8.0,18.8,261602.0,0.0,67.0,0.0,Short Term,169070.0,127870.0,4594.0,742.0,0,0,0,0,0,0,0,0,1,250118.0,1,121
Home Mortgage,0.5,0.0,15.0,31.7,4191176.0,0.0,0.0,0.0,Short Term,269258.0,3547262.0,20783.0,728.0,0,0,0,1,0,0,1,0,0,250118.0,3,122
Home Mortgage,4.0,0.0,11.0,14.3,546920.0,0.0,0.0,0.0,Short Term,99999999.0,403845.0,15201.0,714.0,0,0,0,1,0,0,0,0,1,250118.0,1,123
Home Mortgage,4.0,0.0,7.0,18.6,601766.0,0.0,0.0,0.0,Short Term,327888.0,220875.0,13936.0,736.0,0,0,0,1,0,0,1,0,0,250118.0,3,124
Home Mortgage,2.0,0.0,23.0,17.8,1267530.0,0.0,37.0,0.0,Short Term,99999999.0,839629.0,39064.0,743.0,0,0,0,0,0,0,1,0,0,250118.0,3,125
Home Mortgage,10.0,0.0,13.0,31.4,2170894.0,0.0,0.0,0.0,Short Term,465234.0,628083.0,30150.0,750.0,0,1,1,1,0,0,1,0,0,250118.0,3,126
Home Mortgage,10.0,0.0,11.0,21.1,393162.0,1.0,17.00315366972477,1.0,Short Term,99999999.0,117477.0,5651.0,741.0,0,0,0,1,0,0,1,0,0,250118.0,1,127
Home Mortgage,10.0,0.0,10.0,17.9,274934.0,0.0,0.0,0.0,Short Term,151184.0,163362.0,13221.0,718.0,1,0,0,1,0,0,0,0,1,250118.0,1,128
Home Mortgage,3.0,0.0,17.0,12.0,671176.0,0.0,0.0,0.0,Short Term,290686.0,213902.0,17660.0,748.0,0,0,0,1,0,0,0,0,1,250118.0,2,129
Own Home,1.0,0.0,16.0,19.4,559020.0,0.0,21.0,0.0,Short Term,326524.0,438862.0,20960.0,709.0,1,0,0,0,0,0,0,1,0,250118.0,1,130
Own Home,10.0,0.0,7.0,9.5,237138.0,0.0,59.0,0.0,Short Term,61402.0,58159.0,3091.0,667.0,0,0,0,0,0,0,0,1,0,250118.0,1,131
Home Mortgage,10.0,0.0,16.0,24.5,824428.0,0.0,0.0,0.0,Short Term,264264.0,317566.0,25942.0,731.0,0,0,0,1,0,1,1,0,0,250118.0,2,132
Home Mortgage,7.0,0.0,7.0,7.8,652762.0,0.0,0.0,0.0,Short Term,87406.0,187169.0,9872.0,718.0,0,0,0,1,0,0,0,0,1,250118.0,1,133
Home Mortgage,10.0,0.0,9.0,39.3,611754.0,0.0,0.0,0.0,Short Term,134420.0,230356.0,17700.0,743.0,0,1,1,1,0,0,1,0,0,250118.0,2,134
Home Mortgage,10.0,0.0,11.0,34.0,465124.0,0.0,0.0,0.0,Short Term,523886.0,272745.0,32009.0,700.0,0,0,0,1,0,0,1,0,0,250118.0,3,135
Home Mortgage,2.0,0.0,12.0,4.8,943360.0,0.0,0.0,0.0,Short Term,144958.0,97774.0,3060.0,737.0,0,0,0,1,0,0,0,0,1,250118.0,1,136
Own Home,0.5,0.0,9.0,9.1,101442.0,0.0,3.0,0.0,Short Term,40546.0,51585.0,4553.0,731.0,1,0,0,0,0,1,0,1,0,250118.0,2,137
Home Mortgage,10.0,0.0,19.0,10.1,1115114.0,0.0,0.0,0.0,Short Term,264572.0,471903.0,24350.0,741.0,0,0,0,1,0,0,1,0,0,250118.0,3,138
Home Mortgage,10.0,1.0,7.0,23.4,180488.0,1.0,40.0,0.0,Short Term,646800.0,13870.0,17763.0,743.0,0,0,0,0,0,0,1,0,0,250118.0,3,139
Home Mortgage,7.0,0.0,16.0,32.0,1630618.0,0.0,0.0,0.0,Short Term,615318.0,1080131.0,42513.0,747.0,1,0,0,1,0,0,1,0,0,250118.0,3,140
Home Mortgage,7.0,0.0,24.0,19.7,707630.0,0.0,0.0,0.0,Short Term,322630.0,400900.0,26470.0,742.0,0,0,0,1,0,0,0,0,1,250118.0,3,141
Home Mortgage,5.0,0.0,23.0,10.5,450626.0,0.0,0.0,0.0,Short Term,114488.0,101574.0,10799.0,697.0,1,0,0,1,0,0,0,0,1,250118.0,1,142
Home Mortgage,1.0,0.0,17.0,14.5,868538.0,0.0,0.0,0.0,Short Term,99999999.0,182267.0,17817.0,748.0,0,0,0,1,0,0,0,0,1,250118.0,1,143
Home Mortgage,10.0,0.0,21.0,29.4,1714966.0,0.0,4.0,0.0,Short Term,695068.0,503576.0,67783.0,731.0,1,0,0,0,0,1,1,0,0,250118.0,2,144
Home Mortgage,10.0,0.0,19.0,30.0,611798.0,0.0,32.0,0.0,Short Term,562100.0,284791.0,22562.0,736.0,1,0,0,0,0,0,0,0,1,250118.0,3,145
